STT,Mã t?nh (BNV),Tên t?nh/TP m?i,Mã t?nh (TMS),Mã Qu?n huy?n TMS (c?) CQT ?ã rà soát,Tên Qu?n huy?n TMS (c?),S? t? t?ng,Mã ph??ng/xã m?i ,Tên Ph??ng/Xã m?i,Tr?ng thái rà soát cu?i,
63,01,Thành ph? Hà N?i,101,10141,Huy?n Thanh Oai,63,10141063,Xã Tam H?ng,,
64,01,Thành ph? Hà N?i,101,10141,Huy?n Thanh Oai,64,10141064,Xã Dân Hoà,,
65,01,Thành ph? Hà N?i,101,10147,Huy?n ?ng Hoà,65,10147065,Xã Vân ?ình,,
66,01,Thành ph? Hà N?i,101,10147,Huy?n ?ng Hoà,66,10147066,Xã ?ng Thiên,,
67,01,Thành ph? Hà N?i,101,10147,Huy?n ?ng Hoà,67,10147067,Xã Hoà Xá,,
68,01,Thành ph? Hà N?i,101,10147,Huy?n ?ng Hoà,68,10147068,Xã ?ng Hoà,,
69,01,Thành ph? Hà N?i,101,10145,Huy?n M? ??c,69,10145069,Xã M? ??c,,
70,01,Thành ph? Hà N?i,101,10145,Huy?n M? ??c,70,10145070,Xã H?ng S?n,,
71,01,Thành ph? Hà N?i,101,10145,Huy?n M? ??c,71,10145071,Xã Phúc S?n,,
72,01,Thành ph? Hà N?i,101,10145,Huy?n M? ??c,72,10145072,Xã H??ng S?n,,
73,01,Thành ph? Hà N?i,101,10153,Huy?n Ch??ng M?,73,10153073,Ph??ng Ch??ng M?,,
74,01,Thành ph? Hà N?i,101,10153,Huy?n Ch??ng M?,74,10153074,Xã Phú Ngh?a,,
75,01,Thành ph? Hà N?i,101,10153,Huy?n Ch??ng M?,75,10153075,Xã Xuân Mai,,
76,01,Thành ph? Hà N?i,101,10153,Huy?n Ch??ng M?,76,10153076,Xã Tr?n Phú,,
77,01,Thành ph? Hà N?i,101,10153,Huy?n Ch??ng M?,77,10153077,Xã Hoà Phú,,
78,01,Thành ph? Hà N?i,101,10153,Huy?n Ch??ng M?,78,10153078,Xã Qu?ng B?,,
79,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,79,10151079,Xã Minh Châu,,
80,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,80,10151080,Xã Qu?ng Oai,,
81,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,81,10151081,Xã V?t L?i,,
82,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,82,10151082,Xã C? ?ô,,
83,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,83,10151083,Xã B?t B?t,,
84,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,84,10151084,Xã Su?i Hai,,
85,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,85,10151085,Xã Ba Vì,,
86,01,Thành ph? Hà N?i,101,10151,Huy?n Ba Vì,86,10151086,Xã Yên Bài,,
87,01,Thành ph? Hà N?i,101,10129,Th? xã S?n Tây,87,10129087,Ph??ng S?n Tây,,
88,01,Thành ph? Hà N?i,101,10129,Th? xã S?n Tây,88,10129088,Ph??ng Tùng Thi?n,,
89,01,Thành ph? Hà N?i,101,10129,Th? xã S?n Tây,89,10129089,Xã ?oài Ph??ng,,
90,01,Thành ph? Hà N?i,101,10131,Huy?n Phúc Th?,90,10131090,Xã Phúc Th?,,
91,01,Thành ph? Hà N?i,101,10131,Huy?n Phúc Th?,91,10131091,Xã Phúc L?c,,
92,01,Thành ph? Hà N?i,101,10131,Huy?n Phúc Th?,92,10131092,Xã Hát Môn,,
93,01,Thành ph? Hà N?i,101,10135,Huy?n Th?ch Th?t,93,10135093,Xã Th?ch Th?t,,
94,01,Thành ph? Hà N?i,101,10135,Huy?n Th?ch Th?t,94,10135094,Xã H? B?ng,,
95,01,Thành ph? Hà N?i,101,10135,Huy?n Th?ch Th?t,95,10135095,Xã Tây Ph??ng,,
96,01,Thành ph? Hà N?i,101,10135,Huy?n Th?ch Th?t,96,10135096,Xã Hoà L?c,,
97,01,Thành ph? Hà N?i,101,10135,Huy?n Th?ch Th?t,97,10135097,Xã Yên Xuân,,
98,01,Thành ph? Hà N?i,101,10139,Huy?n Qu?c Oai,98,10139098,Xã Qu?c Oai,,
99,01,Thành ph? Hà N?i,101,10139,Huy?n Qu?c Oai,99,10139099,Xã H?ng ??o,,
100,01,Thành ph? Hà N?i,101,10139,Huy?n Qu?c Oai,100,10139100,Xã Ki?u Phú,,
101,01,Thành ph? Hà N?i,101,10139,Huy?n Qu?c Oai,101,10139101,Xã Phú Cát,,
102,01,Thành ph? Hà N?i,101,10137,Huy?n Hoài ??c,102,10137102,Xã Hoài ??c,,
103,01,Thành ph? Hà N?i,101,10137,Huy?n Hoài ??c,103,10137103,Xã D??ng Hoà,,
104,01,Thành ph? Hà N?i,101,10137,Huy?n Hoài ??c,104,10137104,Xã S?n ??ng,,
105,01,Thành ph? Hà N?i,101,10137,Huy?n Hoài ??c,105,10137105,Xã An Khánh,,
106,01,Thành ph? Hà N?i,101,10133,Huy?n ?an Ph??ng,106,10133106,Xã ?an Ph??ng,,
107,01,Thành ph? Hà N?i,101,10133,Huy?n ?an Ph??ng,107,10133107,Xã Ô Diên,,
108,01,Thành ph? Hà N?i,101,10133,Huy?n ?an Ph??ng,108,10133108,Xã Liên Minh,,
109,01,Thành ph? Hà N?i,101,10119,Huy?n Gia Lâm,109,10119109,Xã Gia Lâm,,
110,01,Thành ph? Hà N?i,101,10119,Huy?n Gia Lâm,110,10119110,Xã Thu?n An,,
111,01,Thành ph? Hà N?i,101,10119,Huy?n Gia Lâm,111,10119111,Xã Bát Tràng,,
112,01,Thành ph? Hà N?i,101,10119,Huy?n Gia Lâm,112,10119112,Xã Phù ??ng,,
113,01,Thành ph? Hà N?i,101,10117,Huy?n ?ông Anh,113,10117113,Xã Th? Lâm,,
114,01,Thành ph? Hà N?i,101,10117,Huy?n ?ông Anh,114,10117114,Xã ?ông Anh,,
115,01,Thành ph? Hà N?i,101,10117,Huy?n ?ông Anh,115,10117115,Xã Phúc Th?nh,,
116,01,Thành ph? Hà N?i,101,10117,Huy?n ?ông Anh,116,10117116,Xã Thiên L?c,,
117,01,Thành ph? Hà N?i,101,10117,Huy?n ?ông Anh,117,10117117,Xã V?nh Thanh,,
118,01,Thành ph? Hà N?i,101,10125,Huy?n Mê Linh,118,10125118,Xã Mê Linh,,
119,01,Thành ph? Hà N?i,101,10125,Huy?n Mê Linh,119,10125119,Xã Yên Lãng,,
120,01,Thành ph? Hà N?i,101,10125,Huy?n Mê Linh,120,10125120,Xã Ti?n Th?ng,,
121,01,Thành ph? Hà N?i,101,10125,Huy?n Mê Linh,121,10125121,Xã Quang Minh,,
122,01,Thành ph? Hà N?i,101,10115,Huy?n Sóc S?n,122,10115122,Xã Sóc S?n,,
123,01,Thành ph? Hà N?i,101,10115,Huy?n Sóc S?n,123,10115123,Xã ?a Phúc,,
124,01,Thành ph? Hà N?i,101,10115,Huy?n Sóc S?n,124,10115124,Xã N?i Bài,,
125,01,Thành ph? Hà N?i,101,10115,Huy?n Sóc S?n,125,10115125,Xã Trung Giã,,
126,01,Thành ph? Hà N?i,101,10115,Huy?n Sóc S?n,126,10115126,Xã Kim Anh,,
127,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,1,22113001,Xã ??i S?n,,
128,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,2,22113002,Xã S?n ??ng,,
129,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,3,22113003,Xã Tây Yên T?,,
130,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,4,22113004,Xã D??ng H?u,,
131,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,5,22113005,Xã Yên ??nh,,
132,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,6,22113006,Xã An L?c,,
133,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,7,22113007,Xã Vân S?n,,
134,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,8,22107008,Xã Bi?n ??ng,,
135,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,9,22107009,Xã L?c Ng?n,,
136,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,10,22107010,Xã ?èo Gia,,
137,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,11,22107011,Xã S?n H?i,,
138,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,12,22107012,Xã Tân S?n,,
139,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,13,22107013,Xã Biên S?n,,
140,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,14,22107014,Xã Sa Lý,,
141,02,T?nh B?c Ninh,223,22107,Huy?n L?c Ng?n,15,22107015,Xã Nam D??ng,,
142,02,T?nh B?c Ninh,223,22121,Th? xã Ch?,16,22121016,Xã Kiên Lao,,
143,02,T?nh B?c Ninh,223,22121,Th? xã Ch?,17,22121017,Ph??ng Ch?,,
144,02,T?nh B?c Ninh,223,22121,Th? xã Ch?,18,22121018,Ph??ng Ph??ng S?n,,
145,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,19,22115019,Xã L?c S?n,,
146,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,20,22115020,Xã Tr??ng S?n,,
147,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,21,22115021,Xã C?m Lý,,
148,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,22,22115022,Xã ?ông Phú,,
149,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,23,22115023,Xã Ngh?a Ph??ng,,
150,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,24,22115024,Xã L?c Nam,,
151,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,25,22115025,Xã B?c L?ng,,
152,02,T?nh B?c Ninh,223,22115,Huy?n L?c Nam,26,22115026,Xã B?o ?ài,,
153,02,T?nh B?c Ninh,223,22111,Huy?n L?ng Giang,27,22111027,Xã L?ng Giang,,
154,02,T?nh B?c Ninh,223,22111,Huy?n L?ng Giang,28,22111028,Xã M? Thái,,
155,02,T?nh B?c Ninh,223,22111,Huy?n L?ng Giang,29,22111029,Xã Kép,,
156,02,T?nh B?c Ninh,223,22111,Huy?n L?ng Giang,30,22111030,Xã Tân D?nh,,
157,02,T?nh B?c Ninh,223,22111,Huy?n L?ng Giang,31,22111031,Xã Tiên L?c,,
158,02,T?nh B?c Ninh,223,22103,Huy?n Yên Th?,32,22103032,Xã Yên Th?,,
159,02,T?nh B?c Ninh,223,22103,Huy?n Yên Th?,33,22103033,Xã B? H?,,
160,02,T?nh B?c Ninh,223,22103,Huy?n Yên Th?,34,22103034,Xã ??ng K?,,
161,02,T?nh B?c Ninh,223,22103,Huy?n Yên Th?,35,22103035,Xã Xuân L??ng,,
162,02,T?nh B?c Ninh,223,22103,Huy?n Yên Th?,36,22103036,Xã Tam Ti?n,,
163,02,T?nh B?c Ninh,223,22105,Huy?n Tân Yên,37,22105037,Xã Tân Yên,,
164,02,T?nh B?c Ninh,223,22105,Huy?n Tân Yên,38,22105038,Xã Ng?c Thi?n,,
165,02,T?nh B?c Ninh,223,22105,Huy?n Tân Yên,39,22105039,Xã Nhã Nam,,
166,02,T?nh B?c Ninh,223,22105,Huy?n Tân Yên,40,22105040,Xã Phúc Hoà,,
167,02,T?nh B?c Ninh,223,22105,Huy?n Tân Yên,41,22105041,Xã Quang Trung,,
168,02,T?nh B?c Ninh,223,22109,Huy?n Hi?p Hoà,42,22109042,Xã H?p Th?nh,,
169,02,T?nh B?c Ninh,223,22109,Huy?n Hi?p Hoà,43,22109043,Xã Hi?p Hoà,,
170,02,T?nh B?c Ninh,223,22109,Huy?n Hi?p Hoà,44,22109044,Xã Hoàng Vân,,
171,02,T?nh B?c Ninh,223,22109,Huy?n Hi?p Hoà,45,22109045,Xã Xuân C?m,,
172,02,T?nh B?c Ninh,223,22117,Th? xã Vi?t Yên,46,22117046,Ph??ng T? L?n,,
173,02,T?nh B?c Ninh,223,22117,Th? xã Vi?t Yên,47,22117047,Ph??ng Vi?t Yên,,
174,02,T?nh B?c Ninh,223,22117,Th? xã Vi?t Yên,48,22117048,Ph??ng N?nh,,
175,02,T?nh B?c Ninh,223,22117,Th? xã Vi?t Yên,49,22117049,Ph??ng Vân Hà,,
176,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,50,22101050,Xã ??ng Vi?t,,
177,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,51,22101051,Ph??ng B?c Giang,,
178,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,52,22101052,Ph??ng ?a Mai,,
179,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,53,22101053,Ph??ng Ti?n Phong,,
180,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,54,22101054,Ph??ng Tân An,,
181,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,55,22101055,Ph??ng Yên D?ng,,
182,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,56,22101056,Ph??ng Tân Ti?n,,
183,02,T?nh B?c Ninh,223,22101,Thành ph? B?c Giang,57,22101057,Ph??ng C?nh Th?y,,
184,02,T?nh B?c Ninh,223,22301,Thành ph? B?c Ninh,58,22301058,Ph??ng Kinh B?c,,
185,02,T?nh B?c Ninh,223,22301,Thành ph? B?c Ninh,59,22301059,Ph??ng Võ C??ng,,
186,02,T?nh B?c Ninh,223,22301,Thành ph? B?c Ninh,60,22301060,Ph??ng V? Ninh,,
187,02,T?nh B?c Ninh,223,22301,Thành ph? B?c Ninh,61,22301061,Ph??ng H?p L?nh,,
188,02,T?nh B?c Ninh,223,22301,Thành ph? B?c Ninh,62,22301062,Ph??ng Nam S?n,,
189,02,T?nh B?c Ninh,223,22313,Th? xã T? S?n,63,22313063,Ph??ng T? S?n,,
190,02,T?nh B?c Ninh,223,22313,Th? xã T? S?n,64,22313064,Ph??ng Tam S?n,,
191,02,T?nh B?c Ninh,223,22313,Th? xã T? S?n,65,22313065,Ph??ng ??ng Nguyên,,
192,02,T?nh B?c Ninh,223,22313,Th? xã T? S?n,66,22313066,Ph??ng Phù Khê,,
193,02,T?nh B?c Ninh,223,22309,Th? xã Thu?n Thành,67,22309067,Ph??ng Thu?n Thành,,
194,02,T?nh B?c Ninh,223,22309,Th? xã Thu?n Thành,68,22309068,Ph??ng Mão ?i?n,,
195,02,T?nh B?c Ninh,223,22309,Th? xã Thu?n Thành,69,22309069,Ph??ng Tr?m L?,,
196,02,T?nh B?c Ninh,223,22309,Th? xã Thu?n Thành,70,22309070,Ph??ng Trí Qu?,,
197,02,T?nh B?c Ninh,223,22309,Th? xã Thu?n Thành,71,22309071,Ph??ng Song Li?u,,
198,02,T?nh B?c Ninh,223,22309,Th? xã Thu?n Thành,72,22309072,Ph??ng Ninh Xá,,
199,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,73,22305073,Ph??ng Qu? Võ,,
200,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,74,22305074,Ph??ng Ph??ng Li?u,,
201,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,75,22305075,Ph??ng Nhân Hoà,,
202,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,76,22305076,Ph??ng ?ào Viên,,
203,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,77,22305077,Ph??ng B?ng Lai,,
204,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,78,22305078,Xã Chi L?ng,,
205,02,T?nh B?c Ninh,223,22305,Th? xã Qu? Võ,79,22305079,Xã Phù Lãng,,
206,02,T?nh B?c Ninh,223,22303,Huy?n Yên Phong,80,22303080,Xã Yên Phong,,
207,02,T?nh B?c Ninh,223,22303,Huy?n Yên Phong,81,22303081,Xã V?n Môn,,
208,02,T?nh B?c Ninh,223,22303,Huy?n Yên Phong,82,22303082,Xã Tam Giang,,
209,02,T?nh B?c Ninh,223,22303,Huy?n Yên Phong,83,22303083,Xã Yên Trung,,
210,02,T?nh B?c Ninh,223,22303,Huy?n Yên Phong,84,22303084,Xã Tam ?a,,
211,02,T?nh B?c Ninh,223,22307,Huy?n Tiên Du,85,22307085,Xã Tiên Du,,
212,02,T?nh B?c Ninh,223,22307,Huy?n Tiên Du,86,22307086,Xã Liên Bão,,
213,02,T?nh B?c Ninh,223,22307,Huy?n Tiên Du,87,22307087,Xã Tân Chi,,
214,02,T?nh B?c Ninh,223,22307,Huy?n Tiên Du,88,22307088,Xã ??i ??ng,,
215,02,T?nh B?c Ninh,223,22307,Huy?n Tiên Du,89,22307089,Xã Ph?t Tích,,
216,02,T?nh B?c Ninh,223,22315,Huy?n Gia Bình,90,22315090,Xã Gia Bình,,L?ch mã ph??ng xã m?i và Qu?n huy?n c?
217,02,T?nh B?c Ninh,223,22315,Huy?n Gia Bình,91,22315091,Xã Nhân Th?ng,,L?ch mã ph??ng xã m?i và Qu?n huy?n c?
218,02,T?nh B?c Ninh,223,22315,Huy?n Gia Bình,92,22315092,Xã ??i Lai,,L?ch mã ph??ng xã m?i và Qu?n huy?n c?
219,02,T?nh B?c Ninh,223,22315,Huy?n Gia Bình,93,22315093,Xã Cao ??c,,L?ch mã ph??ng xã m?i và Qu?n huy?n c?
220,02,T?nh B?c Ninh,223,22315,Huy?n Gia Bình,94,22315094,Xã ?ông C?u,,L?ch mã ph??ng xã m?i và Qu?n huy?n c?
221,02,T?nh B?c Ninh,223,22311,Huy?n L??ng Tài,95,22311095,Xã L??ng Tài,,
222,02,T?nh B?c Ninh,223,22311,Huy?n L??ng Tài,96,22311096,Xã Lâm Thao,,
223,02,T?nh B?c Ninh,223,22311,Huy?n L??ng Tài,97,22311097,Xã Trung Chính,,
224,02,T?nh B?c Ninh,223,22311,Huy?n L??ng Tài,98,22311098,Xã Trung Kênh,,
225,02,T?nh B?c Ninh,223,22113,Huy?n S?n ??ng,99,22113099,Xã Tu?n ??o,,S?a mã t?nh (TMS)
226,03,T?nh Qu?ng Ninh,225,22521,Thành ph? ?ông Tri?u,1,22521001,Ph??ng An Sinh,,
227,03,T?nh Qu?ng Ninh,225,22521,Thành ph? ?ông Tri?u,2,22521002,Ph??ng ?ông Tri?u,,
228,03,T?nh Qu?ng Ninh,225,22521,Thành ph? ?ông Tri?u,3,22521003,Ph??ng Bình Khê,,
229,03,T?nh Qu?ng Ninh,225,22521,Thành ph? ?ông Tri?u,4,22521004,Ph??ng M?o Khê,,
230,03,T?nh Qu?ng Ninh,225,22521,Thành ph? ?ông Tri?u,5,22521005,Ph??ng Hoàng Qu?,,
231,03,T?nh Qu?ng Ninh,225,22505,Thành ph? Uông Bí,6,22505006,Ph??ng Yên T?,,
232,03,T?nh Qu?ng Ninh,225,22505,Thành ph? Uông Bí,7,22505007,Ph??ng Vàng Danh,,
233,03,T?nh Qu?ng Ninh,225,22505,Thành ph? Uông Bí,8,22505008,Ph??ng Uông Bí,,
234,03,T?nh Qu?ng Ninh,225,22525,Th? xã Qu?ng Yên,9,22525009,Ph??ng ?ông Mai,,
235,03,T?nh Qu?ng Ninh,225,22525,Th? xã Qu?ng Yên,10,22525010,Ph??ng Hi?p Hoà,,
236,03,T?nh Qu?ng Ninh,225,22525,Th? xã Qu?ng Yên,11,22525011,Ph??ng Qu?ng Yên,,
237,03,T?nh Qu?ng Ninh,225,22525,Th? xã Qu?ng Yên,12,22525012,Ph??ng Hà An,,
238,03,T?nh Qu?ng Ninh,225,22525,Th? xã Qu?ng Yên,13,22525013,Ph??ng Phong C?c,,
239,03,T?nh Qu?ng Ninh,225,22525,Th? xã Qu?ng Yên,14,22525014,Ph??ng Liên Hoà,,
240,03,T?nh Qu?ng Ninh,225,22501,Thành ph? H? Long,15,22501015,Ph??ng Tu?n Châu,,
241,03,T?nh Qu?ng Ninh,225,22501,Thành ph? H? Long,16,22501016,Ph??ng Vi?t H?ng,,
242,03,T?nh Qu?ng Ninh,225,22501,Thành ph? H? Long,17,22501017,Ph??ng Bãi Cháy,,
243,03,T?nh Qu?ng Ninh,225,22501,Thành ph? H? Long,18,22501018,Ph??ng Hà Tu,,
244,03,T?nh Qu?ng Ninh,225,22501,Thành ph? H? Long,19,22501019,Ph??ng Hà L?m,,
